image_path,architectural_style
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000000.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000002.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000003.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000004.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000005.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000007.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000008.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000011.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000012.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000013.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000014.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000015.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000016.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000017.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000018.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000019.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000020.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000021.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000022.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000023.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000024.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000025.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000026.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000027.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000028.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000029.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000030.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000032.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000033.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000034.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000035.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000036.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000038.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000039.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000040.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000043.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000044.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000046.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000047.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000048.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000049.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000050.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000051.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000053.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000054.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000055.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000056.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000057.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000059.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000060.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000063.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000064.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000066.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000069.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000070.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000071.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000072.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000073.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000074.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000075.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000076.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000077.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000078.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000079.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000080.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000081.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000082.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000083.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000084.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000085.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000086.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000087.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000088.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000089.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000090.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000092.jpg,Achaemenid architecture
