image_path,architectural_style
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006755.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011507.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011580.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Postmodern architecture\012152.jpg,Postmodern architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006557.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007786.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006685.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Achaemenid architecture\000199.jpg,Achaemenid architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003877.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Beaux-Arts architecture\004536.jpg,Beaux-Arts architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006455.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003910.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005091.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\010293.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012334.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008078.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011322.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003889.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Chicago school architecture\005813.jpg,Chicago school architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002040.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\009908.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006736.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005063.jpg,Byzantine architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012683.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American craftsman style\000719.jpg,American craftsman style
C:\Users\shand\Downloads\archive\g-images-dataset\Ancient Egyptian architecture\001456.jpg,Ancient Egyptian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\009834.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Postmodern architecture\012189.jpg,Postmodern architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Georgian architecture\008477.jpg,Georgian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Queen Anne architecture\012631.jpg,Queen Anne architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Edwardian architecture\007870.jpg,Edwardian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American craftsman style\000706.jpg,American craftsman style
C:\Users\shand\Downloads\archive\g-images-dataset\Art Deco architecture\002263.jpg,Art Deco architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Bauhaus architecture\003914.jpg,Bauhaus architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013881.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Palladian architecture\011512.jpg,Palladian architecture
C:\Users\shand\Downloads\archive\g-images-dataset\International style\010349.jpg,International style
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013641.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001171.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\American Foursquare architecture\001369.jpg,American Foursquare architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Colonial architecture\006320.jpg,Colonial architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Russian Revival architecture\013552.jpg,Russian Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Tudor Revival architecture\014532.jpg,Tudor Revival architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Baroque architecture\003451.jpg,Baroque architecture
C:\Users\shand\Downloads\archive\g-images-dataset\Byzantine architecture\005456.jpg,Byzantine architecture
